id,code,qualification,alevel_subjects,reason,job,sector,enjoy,prior_programming,conf_maths,conf_programming,conf_python,career_clarity,postgrad,comments
2,659874,"International qualifications (IB, Baccalaureate, other)",Computer Science;Further Maths;Business Studies;Physics;,Job prospects and salary,Data science / data analysis,Startups / small companies,Finding patterns in data,Moderate (personal projects),5,4,4,5,Maybe,"I am interested in Additive Manufacturing, and I wanted to apply AI in certain aspects of AM. I want to work on physics-informed neural networks, that can help optimise and simulate machines to help better understand metals, ceramics and other materials when using AM."
3,,A-levels,Maths;Computer Science;English (Language or Literature);,Job prospects and salary,Something outside tech,Finance,Building practical things that work (including code),Moderate (personal projects),3,3,3,2,Maybe,
4,970507,"International qualifications (IB, Baccalaureate, other)",,Job prospects and salary,"Product, project management or consulting",Not sure,Finding patterns in data,"A little (tutorials, school projects)",3,2,3,3,Maybe,
5,061206,"International qualifications (IB, Baccalaureate, other)",,I enjoyed programming before university,"Product, project management or consulting",Not sure,Building practical things that work (including code),Moderate (personal projects),2,4,3,2,Maybe,
6,031097,A-levels,Maths;Chemistry;Biology;,Job prospects and salary,"Product, project management or consulting",Not sure,Finding patterns in data,"A little (tutorials, school projects)",4,3,3,2,Maybe,
7,121212,"International qualifications (IB, Baccalaureate, other)",,Genuine interest in AI/ML,Data science / data analysis,Startups / small companies,Building practical things that work (including code),"A little (tutorials, school projects)",4,3,3,3,Yes,
8,02121974,A-levels,Maths;Computer Science;Economics;,Job prospects and salary,"Product, project management or consulting",Finance,Finding patterns in data,Moderate (personal projects),4,4,4,4,No,
9,784279,A-levels,Maths;Further Maths;Physics;Computer Science;,Genuine interest in AI/ML,Data science / data analysis,No preference,Finding patterns in data,"A little (tutorials, school projects)",4,3,4,3,Maybe,
10,892360,A-levels,Maths;Computer Science;Economics;,I enjoyed maths before university,Not sure yet,Finance,Understanding why something works (theory),"A little (tutorials, school projects)",4,3,3,2,Maybe,
11,190113,A-levels,Maths;Chemistry;Computer Science;,I enjoyed maths before university,Software or ML engineering,Big tech,Understanding why something works (theory),Moderate (personal projects),4,3,4,3,Maybe,
12,749296,A-levels,Maths;Physics;Further Maths;,Genuine interest in AI/ML,Software or ML engineering,No preference,Building practical things that work (including code),Moderate (personal projects),4,3,3,2,No,
13,062812,A-levels,Maths;Physics;Computer Science;,It was my insurance/clearing choice,Something outside tech,Games / creative industries,Understanding why something works (theory),"A little (tutorials, school projects)",4,2,4,1,No,
14,956690,A-levels,Maths;Computer Science;Economics;,Job prospects and salary,Software or ML engineering,Big tech,Building practical things that work (including code),Moderate (personal projects),4,3,3,2,No,
15,042505,A-levels,Maths;Further Maths;Physics;Computer Science;,I enjoyed programming before university,Software or ML engineering,Games / creative industries,Building practical things that work (including code),Moderate (personal projects),4,3,5,1,Maybe,
16,,Access course / foundation year,Maths;Economics;Business Studies;,I enjoyed maths before university,"Research or further study (MSc, PhD)",Big tech,Building practical things that work (including code),"A little (tutorials, school projects)",4,2,2,4,Yes,
17,573956,A-levels,Maths;Economics;Computer Science;,Genuine interest in AI/ML,"Product, project management or consulting",Healthcare / biotech,Building practical things that work (including code),"A little (tutorials, school projects)",4,3,3,4,No,
18,,A-levels,Maths;Physics;Computer Science;,It was my insurance/clearing choice,Software or ML engineering,Games / creative industries,Building practical things that work (including code),Moderate (personal projects),3,3,4,3,Maybe,
19,300876,A-levels,Maths;Further Maths;Economics;,Genuine interest in AI/ML,Not sure yet,Startups / small companies,Working with people and coordinating,"A lot (substantial projects, internships or paid work)",5,4,4,3,Yes,Real applications of AI/ML that tech companies employ.
20,83560j,A-levels,Maths;Computer Science;Physics;,I enjoyed maths before university,"Research or further study (MSc, PhD)",Healthcare / biotech,Understanding why something works (theory),Moderate (personal projects),4,3,4,5,Yes,
21,800851,A-levels,Maths;Computer Science;Business Studies;,Genuine interest in AI/ML,Data science / data analysis,Finance,Building practical things that work (including code),Moderate (personal projects),4,4,5,3,Maybe,
